epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_root_mean_squared_error
0,61.20180511,61.20173645,42197148,14854.76563,121.8801041,59.6751442,59.67512894,3378871.5,12812.7002,113.1931915
1,46.60787582,46.60788727,2185230,9692.219727,98.44902039,37.56120682,37.56118774,416698.0313,5991.365234,77.40392303
2,31.13350105,31.13351631,1239123.75,4766.61084,69.04064178,31.41398048,31.41399193,926782.375,4055.48877,63.68271255
3,25.43758011,25.43763161,902054.5,3326.818604,57.67857742,27.08318901,27.08316231,282881.7813,3146.848145,56.09680557
4,22.98445892,22.98444748,750398.6875,2812.343506,53.03151321,23.33999634,23.3400135,475450.4375,2673.029297,51.70135498
5,21.63093376,21.63092422,640385.6875,2557.455078,50.57130051,22.78525352,22.78527069,231146.0625,2572.224365,50.71712112
6,20.76981735,20.76981354,541505.25,2403.86084,49.02916718,24.55661392,24.55661201,441541.8125,2927.636719,54.10763168
7,20.0913105,20.09130287,450553.1563,2288.647705,47.83982086,22.48199844,22.48199654,565385,2408.12085,49.07263565
8,19.59444618,19.59442329,423919.6875,2201.154297,46.91651154,20.70641136,20.70639801,621199.5,2357.7854,48.55706024
9,19.18347931,19.18345261,396166.625,2128.036133,46.13063812,20.39036179,20.39035988,143637.3438,2300.043945,47.95877075
10,18.87111282,18.87105942,397044.625,2072.781006,45.52773666,20.77239227,20.77240753,1053432.375,2524.600342,50.2453804
11,18.54629135,18.54627609,389815.7188,2011.999146,44.85530472,20.61013794,20.61013985,269145.875,2455.997803,49.55801392
12,18.29279518,18.29282761,392125.0938,1963.574341,44.31222534,21.17672729,21.17673683,572843.25,2387.10791,48.85805511
13,18.06638527,18.0663662,365703.9375,1919.921997,43.81690216,20.27366829,20.27366829,182713.7344,2107.278076,45.90510559
14,17.88349533,17.88349152,355298.4063,1878.382935,43.34027481,20.02534866,20.02534294,343480.5,2278.266357,47.73115921
15,17.63959885,17.63962936,356958.75,1834.833984,42.83501434,20.53997993,20.53996086,1655318,2378.058838,48.76533127
16,17.45201874,17.45200729,335997.1875,1800.342896,42.430439,19.51829529,19.51827812,231399.2969,2114.217041,45.98060608
17,17.32887077,17.32885551,309587.6875,1772.760864,42.10420609,20.81960297,20.81960106,203680.9063,2371.480957,48.6978569
18,17.14290428,17.14291191,317418.625,1739.10144,41.70251465,19.80606461,19.8060627,115323.2109,2101.144287,45.8382225
19,16.99787331,16.99790192,292462.7188,1711.803101,41.37392044,18.13135338,18.13137054,570447.5625,1902.281738,43.61517715
